ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
29788,コンビニくん。Konbini-kun,660.0,Romance,Ninguno,mas de 3000,Japones,mas de 500,Antes del 2000,0
27037,50 Hours,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,0
41547,"Girl Friends ガールフレンズ, Volume 1",860.0,Romance,Ninguno,0-1000,Japones,300-500,Antes del 2012 ,1
8374,The Complete Malazan Book of the Fallen,-440.0,Ciencia Ficcion,Fantasia,mas de 3000,Ingles,0-100,Antes del 2012 ,1
37482,アオハライド 1,660.0,Romance,Ninguno,0-1000,Japones,0-100,Antes del 2012 ,2
7926,Hush Money,-440.0,Ciencia Ficcion,Fantasia,mas de 3000,Ingles,0-100,Antes del 2012 ,2
50372,Love Stage!! 1,860.0,Romance,Ninguno,0-1000,Japones,mas de 500,Antes del 2000,3
4224,The White Hotel,-440.0,Fantasia,Guerra,mas de 3000,Ingles,0-100,Antes del 2012 ,3
50372,Love Stage!! 1,860.0,Romance,Ninguno,0-1000,Japones,mas de 500,Antes del 2000,4
41144,24 Hours by Greg Iles Lesson Plans,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,4
50372,Love Stage!! 1,860.0,Romance,Ninguno,0-1000,Japones,mas de 500,Antes del 2000,5
40908,Open Secrets,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,5
30375,はぴまり~Happy Marriage!?~ （６）,1000.0,Romance,Ninguno,0-1000,Japones,300-500,Antes del 2000,6
40324,Hollywood Bliss - My Life So Far,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,6
