ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,0
34506,Dank,-440.0,Ninguno,Ninguno,mas de 3000,Otro,mas de 500,Antes del 2012 ,0
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,1
34506,Dank,-440.0,Ninguno,Ninguno,mas de 3000,Otro,mas de 500,Antes del 2012 ,1
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,2
25351,You Cant Drive Your Car to Your Own Funeral,-440.0,Ninguno,Ninguno,mas de 3000,Otro,mas de 500,Antes del 2000,2
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,3
35274,A Summary of Essentialism: The Disciplined Pursuit of Less Master in 15 Minutes,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,3
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,4
27365,Birthday Girl,-500.0,Romance,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,4
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,5
48126,Kristall der Träume,-500.0,Aventura,Romance,mas de 3000,Aleman,0-100,Antes del 2000,5
7381,The Names They Gave Us,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,6
48126,Kristall der Träume,-500.0,Aventura,Romance,mas de 3000,Aleman,0-100,Antes del 2000,6
44207,Ready for Love,600.0,Romance,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,7
48126,Kristall der Träume,-500.0,Aventura,Romance,mas de 3000,Aleman,0-100,Antes del 2000,7
20734,"Population: One: Autism, Adversity and the Will to Succeed",600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2000,8
31869,Sembilan Elemen Jurnalisme,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,8
20734,"Population: One: Autism, Adversity and the Will to Succeed",600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2000,9
29096,Ποίηση,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,9
20734,"Population: One: Autism, Adversity and the Will to Succeed",600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2000,10
29096,Ποίηση,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,10
20734,"Population: One: Autism, Adversity and the Will to Succeed",600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2000,11
12369,مصرع كليوباترا,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2000,11
20734,"Population: One: Autism, Adversity and the Will to Succeed",600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2000,12
3477,Bonjour tristesse,-440.0,Romance,Ninguno,mas de 3000,Frances,mas de 500,Antes del 2000,12
11079,Fear the Worst,520.0,Suspenso,Policial,0-1000,Ingles,300-500,Antes del 2012 ,13
33629,Pillow Thoughts,-500.0,Romance,Ninguno,mas de 3000,Otro,0-100,Antes del 2000,13
47339,The Guinness Book Of Names,600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,14
33629,Pillow Thoughts,-500.0,Romance,Ninguno,mas de 3000,Otro,0-100,Antes del 2000,14
47339,The Guinness Book Of Names,600.0,Ninguno,Ninguno,1000-2000,Ingles,300-500,Antes del 2012 ,15
33883,طوق الطهارة,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,15
25069,Beyond Recall,600.0,Drama,Misterio,1000-2000,Ingles,300-500,Antes del 2000,16
33883,طوق الطهارة,-500.0,Ninguno,Ninguno,mas de 3000,Otro,0-100,Antes del 2012 ,16
25069,Beyond Recall,600.0,Drama,Misterio,1000-2000,Ingles,300-500,Antes del 2000,17
