ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,0
47220,The Friend Zone,-440.0,Romance,Comedia,0-1000,Ingles,100-300,Antes del 2000,0
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,1
39183,Mondscheintarif,-440.0,Comedia,Romance,0-1000,Aleman,mas de 500,Antes del 2000,1
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,2
49232,The Borrowers Afield,-380.0,Aventura,Fantasia,0-1000,Ingles,mas de 500,Antes del 2012 ,2
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,3
35604,Califias Daughters,-380.0,Ciencia Ficcion,Fantasia,0-1000,Ingles,mas de 500,Antes del 2012 ,3
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,4
39183,Mondscheintarif,-440.0,Comedia,Romance,0-1000,Aleman,mas de 500,Antes del 2000,4
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,5
18568,Working with the Law: 11 Truth Principles for Successful Living,-380.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 ,5
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,6
50194,Games of Command,-380.0,Ciencia Ficcion,Fantasia,0-1000,Ingles,100-300,Antes del 2012 ,6
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,7
11704,Blessed Are the Cheesemakers,-380.0,Comedia,Romance,0-1000,Ingles,mas de 500,Antes del 2012 ,7
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,8
51414,Steelhands,-380.0,Ciencia Ficcion,Fantasia,0-1000,Ingles,100-300,Antes del 2012 ,8
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,9
49232,The Borrowers Afield,-380.0,Aventura,Fantasia,0-1000,Ingles,mas de 500,Antes del 2012 ,9
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,10
18558,Alphabet Living,-380.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 ,10
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,11
13807,Order 66:,-380.0,Guerra,Aventura,mas de 3000,Ingles,0-100,Antes del 2000,11
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,12
38366,Les Trois Mousquetaires & Vingt ans après,-380.0,Aventura,Ninguno,1000-2000,Frances,mas de 500,Antes del 2000,12
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,13
4257,The Snowy Day,-380.0,Aventura,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,13
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,14
39339,The Most Dangerous Enemy: A History of the Battle of Britain,-320.0,Guerra,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 ,14
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,15
39053,The Rise and Fall of the Great Powers: Economic Change and Military Conflict from 1500 to 2000,-320.0,Guerra,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 ,15
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,16
36994,The Pugilist at Rest,-320.0,Guerra,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 ,16
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,17
3647,Homecoming,-320.0,Aventura,Ninguno,mas de 3000,Ingles,100-300,Antes del 2012 ,17
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,18
21442,When Elvis Meets the Dalai Lama,-300.0,Ninguno,Ninguno,0-1000,Ingles,300-500,Antes del 2000,18
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,19
36911,Baise-Moi,-380.0,Terror/Horror,Ninguno,0-1000,Ingles,100-300,Antes del 2012 ,19
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,20
21326,Natashas Dance: A Cultural History of Russia,-300.0,Ninguno,Ninguno,0-1000,Ingles,300-500,Antes del 2000,20
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,21
36911,Baise-Moi,-380.0,Terror/Horror,Ninguno,0-1000,Ingles,100-300,Antes del 2012 ,21
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,22
36911,Baise-Moi,-380.0,Terror/Horror,Ninguno,0-1000,Ingles,100-300,Antes del 2012 ,22
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,23
837,Requiem for a Dream,-260.0,Suspenso,Policial,mas de 3000,Ingles,100-300,Antes del 2012 ,23
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,24
50884,En plats i solen,-260.0,Policial,Suspenso,mas de 3000,Otro,100-300,Antes del 2012 ,24
24909,Lavoura Arcaica,520.0,Romance,Ninguno,1000-2000,Portugues,300-500,Antes del 2012 ,25
