,ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion
0,32452,Wishing for a Highlander,520.0,Romance,Fantasia,1000-2000,Ingles,mas de 500,Antes del 2000
1,32452,Wishing for a Highlander,520.0,Romance,Fantasia,1000-2000,Ingles,mas de 500,Antes del 2000
2,50023,Dust,500.0,Misterio,Fantasia,0-1000,Ingles,300-500,Antes del 2000
3,35069,Her Dragon To Slay,380.0,Fantasia,Romance,0-1000,Ingles,mas de 500,Antes del 2000
4,39567,The Book of the Sword,580.0,Aventura,Fantasia,0-1000,Ingles,100-300,Antes del 2000
5,39567,The Book of the Sword,580.0,Aventura,Fantasia,0-1000,Ingles,100-300,Antes del 2000
6,19653,The Dancing Years,520.0,Ninguno,Ninguno,0-1000,Ingles,300-500,Antes del 2012 
7,41251,Young Woman Personal Progress,460.0,Ninguno,Ninguno,mas de 3000,Ingles,100-300,Antes del 2000
8,41880,Collected Shorter Plays,320.0,Drama,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
9,39006,Crystal,600.0,Romance,Ninguno,mas de 3000,Ingles,100-300,Antes del 2012 
10,22083,The Uprising,460.0,Ninguno,Ninguno,2000-3000,Ingles,mas de 500,Antes del 2012 
11,48989,Night of the Grizzlies,380.0,Aventura,Policial,0-1000,Ingles,0-100,Antes del 2000
12,14974,Topdog/Underdog,660.0,Drama,Ninguno,0-1000,Ingles,100-300,Antes del 2012 
13,24517,A Gradual Awakening,260.0,Ninguno,Ninguno,mas de 3000,Ingles,mas de 500,Antes del 2000
14,45011,Caging Skies,100.0,Drama,Guerra,mas de 3000,Otro,100-300,Antes del 2012 
15,45011,Caging Skies,100.0,Drama,Guerra,mas de 3000,Otro,100-300,Antes del 2012 
